product_description;segmentation;packaging;category;brand;subcategory;MARCA*;ID_PRODUCT
FY'S 20 13;MAINSTREAM;03;13;FY'S;20;FYRONIX;121320146
FY'S 26 13;MAINSTREAM;03;13;FY'S;26;FYRONIX;121326147
FY'S 51 13;MAINSTREAM;03;13;FY'S;51;FYRONIX;121351148
FY'S 52 13;MAINSTREAM;03;13;FY'S;52;FYRONIX;121352149
FY'S 23 13;MAINSTREAM;03;13;FY'S;23;FYRONIX;121323150
FY'S 28 13;MAINSTREAM;03;13;FY'S;28;FYRONIX;121328151
FY'S 26 13;MAINSTREAM;03;13;FY'S;26;FYRONIX;121326152
GLACIAL 07 13;ECONOMY;03;13;GLACIAL;07;VORYX;071307153
HEINEKEN 03 13;PREMIUM;03;13;HEINEKEN;03;BRAVIX;021303154
HEINEKEN 05 13;PREMIUM;03;13;HEINEKEN;05;BRAVIX;021305155
HEINEKEN 03 13;PREMIUM;03;13;HEINEKEN;03;BRAVIX;021303156
HEINEKEN 05 13;PREMIUM;03;13;HEINEKEN;05;BRAVIX;021305157
LAGUNITAS 06 13;PREMIUM;03;13;LAGUNITAS;06;NEXIUM;041306158
NOGRAU 03 13;ECONOMY;03;13;NOGRAU;03;MERIDION;081303159
SCHIN 03 13;ECONOMY;03;13;SCHIN;03;TREVORA;091303160
SCHIN 03 13;ECONOMY;03;13;SCHIN;03;TREVORA;091303161
SCHIN 53 13;ECONOMY;03;13;SCHIN;53;TREVORA;091353162
SCHIN 03 13;ECONOMY;03;13;SCHIN;03;TREVORA;091303163
SCHIN 03 26;ECONOMY;03;26;SCHIN;03;TREVORA;092603164
BONAFONT 08 27;ECONOMY;03;27;BONAFONT;08;ZYPHOS;102708165
BONAFONT 08 27;ECONOMY;03;27;BONAFONT;08;ZYPHOS;102708166
MITTO 22 28;PREMIUM;03;28;MITTO;22;ALTRIX;112822167
MITTO 13 28;PREMIUM;03;28;MITTO;13;ALTRIX;112813168
MITTO 11 28;PREMIUM;03;28;MITTO;11;ALTRIX;112811169
MITTO 15 28;PREMIUM;03;28;MITTO;15;ALTRIX;112815170
MITTO 20 28;PREMIUM;03;28;MITTO;20;ALTRIX;112820171
MITTO 18 28;PREMIUM;03;28;MITTO;18;ALTRIX;112818172
MITTO 12 28;PREMIUM;03;28;MITTO;12;ALTRIX;112812173
MITTO 54 28;PREMIUM;03;28;MITTO;54;ALTRIX;112854174
MITTO 14 28;PREMIUM;03;28;MITTO;14;ALTRIX;112814175
MITTO 16 28;PREMIUM;03;28;MITTO;16;ALTRIX;112816176
MITTO 21 28;PREMIUM;03;28;MITTO;21;ALTRIX;112821177
MITTO 19 28;PREMIUM;03;28;MITTO;19;ALTRIX;112819178
MITTO 17 28;PREMIUM;03;28;MITTO;17;ALTRIX;112817179
MITTO 10 28;PREMIUM;03;28;MITTO;10;ALTRIX;112810180
MITTO 09 28;PREMIUM;03;28;MITTO;09;ALTRIX;112809181
DEVASSA 02 29;MAINSTREAM;03;29;DEVASSA;02;SOLANA;052902182
EISEN 03 17;PREMIUM;03;17;EISEN;03;ARDENTIS;061703183
AMSTEL 01 30;MAINSTREAM;03;30;AMSTEL;01;XENORA;013001184
AMSTEL 01 26;MAINSTREAM;03;26;AMSTEL;01;XENORA;012601185
AMSTEL 01 26;MAINSTREAM;03;26;AMSTEL;01;XENORA;012601186
AMSTEL 02 26;MAINSTREAM;03;26;AMSTEL;02;XENORA;012602187
BAER 55 26;PREMIUM;03;26;BAER;55;LYCORIS;182655188
CLASHD 43 26;PREMIUM;03;26;CLASHD;43;ASTRALIS;192643189
CLASHD 26 26;PREMIUM;03;26;CLASHD;26;ASTRALIS;192626190
CLASHD 16 26;PREMIUM;03;26;CLASHD;16;ASTRALIS;192616191
DEVASSA 02 26;MAINSTREAM;03;26;DEVASSA;02;SOLANA;052602192
PRAYA 02 26;PREMIUM;03;26;PRAYA;02;CORVEX;162602193
SCHIN 03 26;ECONOMY;03;26;SCHIN;03;TREVORA;092603194
BAER 55 31;PREMIUM;03;31;BAER;55;LYCORIS;183155195
SCHIN 23 32;ECONOMY;03;32;SCHIN;23;TREVORA;093223196
SCHIN 23 32;ECONOMY;03;32;SCHIN;23;TREVORA;093223197
SCHIN 24 32;ECONOMY;03;32;SCHIN;24;TREVORA;093224198
SCHIN 20 32;ECONOMY;03;32;SCHIN;20;TREVORA;093220199
SCHIN 26 32;ECONOMY;03;32;SCHIN;26;TREVORA;093226200
SCHIN 27 32;ECONOMY;03;32;SCHIN;27;TREVORA;093227201
HEINEKEN 03 26;PREMIUM;03;26;HEINEKEN;03;BRAVIX;022603202
HEINEKEN 05 26;PREMIUM;03;26;HEINEKEN;05;BRAVIX;022605203
PRAYA 02 25;PREMIUM;03;25;PRAYA;02;CORVEX;162502204
SCHIN 53 25;ECONOMY;03;25;SCHIN;53;TREVORA;092553205
AMSTEL 26 26;MAINSTREAM;03;26;AMSTEL;26;XENORA;012626206
AMSTEL 56 26;MAINSTREAM;03;26;AMSTEL;56;XENORA;012656207
HEINEKEN 05 21;PREMIUM;03;21;HEINEKEN;05;BRAVIX;022105208
- 57 33;MAINSTREAM;04;33;-;57;ZENTHOS;203357209
FY'S 26 13;MAINSTREAM;03;13;FY'S;26;FYRONIX;121326210
FY'S 28 13;MAINSTREAM;03;13;FY'S;28;FYRONIX;121328211
